180,8,29,53,120
181,182,48,88,122
181,281,3,52,74
183,74,13,69,106
184,168,4,90,83
184,213,1,61,22
185,170,19,100,115
187,1,7,77,41
187,249,34,68,9
188,129,16,66,120
189,105,23,31,99
190,96,44,68,88
191,7,3,23,50
191,75,40,93,125
191,174,26,60,113
193,135,51,67,14
196,122,25,54,27
196,242,30,28,80
197,55,10,70,91
197,74,30,64,21
198,134,20,31,55
199,171,29,84,116
199,214,52,77,88
200,247,20,33,88
205,108,7,42,32
206,31,38,72,80
207,78,58,76,29
207,169,50,100,86
208,71,33,40,25
209,176,22,38,15
210,185,17,39,75
212,116,2,78,118
213,8,59,97,58
215,59,36,54,57
215,129,29,61,58
216,5,42,20,94
216,99,50,51,88
216,221,60,83,82
217,35,14,82,17
218,37,48,54,36
219,2,21,77,69
219,117,54,88,118
220,100,3,46,55
222,201,43,29,26
225,3,14,40,8
225,208,45,74,41
226,69,39,86,45
227,105,52,63,109
229,24,37,91,48
229,150,1,33,8
229,219,28,38,81
230,44,12,35,24
231,136,60,71,10
232,52,24,74,72
232,82,18,99,58
233,196,34,74,2
235,17,39,29,91
235,102,50,20,43
236,103,9,99,33
238,46,17,56,81
238,96,42,69,6
238,167,1,78,67
239,97,42,66,79
240,50,47,21,73
240,275,10,22,108
241,248,30,72,49
242,259,16,70,92
243,179,40,100,101
244,37,44,46,6
244,225,20,35,25
246,23,52,58,14
246,251,13,82,126
247,42,26,59,70
247,193,3,53,58
248,213,21,33,88
251,44,54,71,27
251,100,47,47,12
252,3,38,97,69
252,147,58,55,18
255,139,49,45,27
255,232,44,38,103
256,59,55,40,121
257,153,38,55,110
258,51,35,67,49
258,233,13,23,110
260,75,14,100,122
260,111,38,48,13
260,225,32,20,43
261,122,18,36,101
261,183,47,39,83
261,237,11,58,20
265,59,25,77,65
265,210,48,100,76
266,119,4,67,39
267,29,49,84,116
268,252,29,63,83
270,217,53,101,83
271,41,34,78,43
271,136,40,99,105
271,234,22,33,85
273,70,30,91,60
273,148,38,55,83
274,27,18,27,95
274,170,31,26,23
275,269,9,77,47
276,205,14,51,101
276,251,8,69,113
277,222,25,44,100
280,128,11,48,18
281,16,46,86,58
282,162,40,36,99
283,13,29,25,29
283,124,58,57,29
284,190,28,72,107
286,56,17,82,56
286,219,40,65,101
287,51,43,93,89
291,31,43,99,102
291,104,32,25,125
291,176,3,57,80
292,241,11,71,118
293,28,13,66,8
293,159,32,83,120
293,196,33,73,80
294,217,41,65,127
296,128,19,21,23
297,161,35,77,39
297,214,27,31,70
298,56,6,92,41
301,18,59,65,82
301,212,49,20,20
302,101,43,51,33
303,0,33,47,8
304,16,46,86,109
305,83,50,36,59
306,23,60,89,102
306,150,10,65,80
306,186,4,38,96
308,100,53,96,69
309,188,37,42,115
310,75,27,46,95
311,17,2,79,31
311,214,36,83,7
312,79,7,47,25
312,123,58,33,126
313,4,24,97,10
313,33,26,92,53
313,99,60,69,73
314,80,40,89,44
315,112,18,66,81
315,180,39,95,39
316,183,34,54,102
317,25,55,83,20
317,169,58,22,47
318,95,4,50,22
319,107,47,44,37
320,25,45,37,8
320,208,29,46,116
321,237,38,71,17
322,215,23,78,122
323,7,43,34,71
323,238,38,25,16
324,0,55,42,68
324,92,43,57,36
324,208,4,22,38
325,102,42,77,29
326,230,42,26,113
327,112,10,82,9
327,229,56,62,89
329,34,12,87,61
329,112,54,28,22
330,115,58,22,49
332,88,18,57,29
334,89,10,75,58
334,224,59,33,96
335,146,19,71,94
336,50,12,36,72
337,194,52,33,75
338,142,59,98,102
339,54,20,37,124
340,116,39,42,98
340,234,38,81,21
341,204,21,80,13
342,264,12,41,32
343,6,53,67,122
343,198,50,48,60
344,162,11,62,127
345,109,10,99,77
346,38,33,62,49
348,125,57,44,16
349,60,33,26,31
349,180,60,76,58
352,54,23,59,29
352,252,9,77,85
353,61,46,31,39
354,25,42,23,43
355,103,40,38,79
356,105,14,79,120
357,179,22,24,110
358,6,51,35,103
